applied voltage (volts)	measured current (nanoamps)
-1.390000E+0	-6.354843E+1
-1.385000E+0	-1.063169E+2
-1.380000E+0	-1.063169E+2
-1.375000E+0	-1.128967E+2
-1.370000E+0	-9.973714E+1
-1.365000E+0	-1.063169E+2
-1.360000E+0	-7.341808E+1
-1.355000E+0	-1.128967E+2
-1.350000E+0	-8.986749E+1
-1.345000E+0	-9.315738E+1
-1.340000E+0	-1.096068E+2
-1.335000E+0	-4.051926E+1
-1.330000E+0	-8.657761E+1
-1.325000E+0	-9.315738E+1
-1.320000E+0	-9.973714E+1
-1.315000E+0	-8.986749E+1
-1.310000E+0	-1.096068E+2
-1.305000E+0	-7.670796E+1
-1.300000E+0	-8.986749E+1
-1.295000E+0	-1.161866E+2
-1.290000E+0	-1.128967E+2
-1.285000E+0	-7.341808E+1
-1.280000E+0	-7.999785E+1
-1.275000E+0	-8.986749E+1
-1.270000E+0	-1.128967E+2
-1.265000E+0	-8.657761E+1
-1.260000E+0	-8.657761E+1
-1.255000E+0	-3.722937E+1
-1.250000E+0	-9.315738E+1
-1.245000E+0	-1.326360E+2
-1.240000E+0	-8.328773E+1
-1.235000E+0	-9.973714E+1
-1.230000E+0	-9.315738E+1
-1.225000E+0	-6.354843E+1
-1.220000E+0	-7.012820E+1
-1.215000E+0	-9.973714E+1
-1.210000E+0	-9.973714E+1
-1.205000E+0	-9.315738E+1
-1.200000E+0	-7.012820E+1
-1.195000E+0	-8.986749E+1
-1.190000E+0	-9.315738E+1
-1.185000E+0	-1.063169E+2
-1.180000E+0	-1.096068E+2
-1.175000E+0	-7.670796E+1
-1.170000E+0	-9.973714E+1
-1.165000E+0	-1.293461E+2
-1.160000E+0	-7.670796E+1
-1.155000E+0	-6.683832E+1
-1.150000E+0	-9.644726E+1
-1.145000E+0	-8.328773E+1
-1.140000E+0	-1.063169E+2
-1.135000E+0	-1.096068E+2
-1.130000E+0	-9.644726E+1
-1.125000E+0	-9.315738E+1
-1.120000E+0	-6.683832E+1
-1.115000E+0	-8.657761E+1
-1.110000E+0	-1.293461E+2
-1.105000E+0	-1.063169E+2
-1.100000E+0	-1.227663E+2
-1.095000E+0	-1.194764E+2
-1.090000E+0	-1.063169E+2
-1.085000E+0	-9.973714E+1
-1.080000E+0	-9.644726E+1
-1.075000E+0	-7.341808E+1
-1.070000E+0	-1.161866E+2
-1.065000E+0	-9.973714E+1
-1.060000E+0	-7.999785E+1
-1.055000E+0	-8.657761E+1
-1.050000E+0	-9.644726E+1
-1.045000E+0	-8.986749E+1
-1.040000E+0	-1.096068E+2
-1.035000E+0	-6.683832E+1
-1.030000E+0	-9.644726E+1
-1.025000E+0	-5.696867E+1
-1.020000E+0	-9.973714E+1
-1.015000E+0	-1.161866E+2
-1.010000E+0	-8.986749E+1
-1.005000E+0	-9.644726E+1
-1.000000E+0	-7.341808E+1
-9.950000E-1	-1.030270E+2
-9.900000E-1	-1.030270E+2
-9.850000E-1	-6.683832E+1
-9.800000E-1	-6.354843E+1
-9.750000E-1	-9.644726E+1
-9.700000E-1	-9.973714E+1
-9.650000E-1	-1.030270E+2
-9.600000E-1	-1.096068E+2
-9.550000E-1	-7.012820E+1
-9.500000E-1	-7.670796E+1
-9.450000E-1	-9.644726E+1
-9.400000E-1	-8.986749E+1
-9.350000E-1	-8.328773E+1
-9.300000E-1	-7.670796E+1
-9.250000E-1	-1.260562E+2
-9.200000E-1	-8.657761E+1
-9.150000E-1	-1.030270E+2
-9.100000E-1	-8.328773E+1
-9.050000E-1	-5.367879E+1
-9.000000E-1	-7.341808E+1
-8.950000E-1	-7.341808E+1
-8.900000E-1	-8.328773E+1
-8.850000E-1	-7.999785E+1
-8.800000E-1	-1.161866E+2
-8.750000E-1	-1.227663E+2
-8.700000E-1	-6.683832E+1
-8.650000E-1	-8.986749E+1
-8.600000E-1	-5.696867E+1
-8.550000E-1	-9.315738E+1
-8.500000E-1	-8.986749E+1
-8.450000E-1	-5.696867E+1
-8.400000E-1	-8.986749E+1
-8.350000E-1	-7.999785E+1
-8.300000E-1	-8.986749E+1
-8.250000E-1	-9.973714E+1
-8.200000E-1	-8.657761E+1
-8.150000E-1	-1.063169E+2
-8.100000E-1	-1.128967E+2
-8.050000E-1	-7.012820E+1
-8.000000E-1	-8.657761E+1
-7.950000E-1	-1.030270E+2
-7.900000E-1	-1.063169E+2
-7.850000E-1	-7.341808E+1
-7.800000E-1	-7.341808E+1
-7.750000E-1	-9.973714E+1
-7.700000E-1	-7.012820E+1
-7.650000E-1	-8.657761E+1
-7.600000E-1	-7.670796E+1
-7.550000E-1	-9.973714E+1
-7.500000E-1	-7.999785E+1
-7.450000E-1	-1.128967E+2
-7.400000E-1	-1.326360E+2
-7.350000E-1	-9.644726E+1
-7.300000E-1	-1.128967E+2
-7.250000E-1	-8.986749E+1
-7.200000E-1	-5.038890E+1
-7.150000E-1	-1.161866E+2
-7.100000E-1	-7.341808E+1
-7.050000E-1	-7.341808E+1
-7.000000E-1	-8.657761E+1
-6.950000E-1	-7.999785E+1
-6.900000E-1	-1.063169E+2
-6.850000E-1	-8.657761E+1
-6.800000E-1	-4.051926E+1
-6.750000E-1	-1.096068E+2
-6.700000E-1	-1.030270E+2
-6.650000E-1	-7.999785E+1
-6.600000E-1	-7.341808E+1
-6.550000E-1	-8.657761E+1
-6.500000E-1	-1.161866E+2
-6.450000E-1	-4.709902E+1
-6.400000E-1	-8.328773E+1
-6.350000E-1	-1.030270E+2
-6.300000E-1	-9.644726E+1
-6.250000E-1	-7.012820E+1
-6.200000E-1	-4.380914E+1
-6.150000E-1	-8.657761E+1
-6.100000E-1	-8.986749E+1
-6.050000E-1	-9.644726E+1
-6.000000E-1	-8.328773E+1
-5.950000E-1	-7.012820E+1
-5.900000E-1	-9.973714E+1
-5.850000E-1	-8.657761E+1
-5.800000E-1	-1.194764E+2
-5.750000E-1	-7.012820E+1
-5.700000E-1	-7.999785E+1
-5.650000E-1	-1.063169E+2
-5.600000E-1	-9.973714E+1
-5.550000E-1	-1.096068E+2
-5.500000E-1	-1.194764E+2
-5.450000E-1	-7.670796E+1
-5.400000E-1	-7.999785E+1
-5.350000E-1	-7.670796E+1
-5.300000E-1	-1.030270E+2
-5.250000E-1	-9.315738E+1
-5.200000E-1	-7.012820E+1
-5.150000E-1	-1.194764E+2
-5.100000E-1	-8.328773E+1
-5.050000E-1	-8.328773E+1
-5.000000E-1	-6.683832E+1
-4.950000E-1	-8.328773E+1
-4.900000E-1	-1.128967E+2
-4.850000E-1	-1.161866E+2
-4.800000E-1	-7.670796E+1
-4.750000E-1	-8.328773E+1
-4.700000E-1	-7.341808E+1
-4.650000E-1	-8.657761E+1
-4.600000E-1	-7.999785E+1
-4.550000E-1	-7.341808E+1
-4.500000E-1	-8.986749E+1
-4.450000E-1	-6.025855E+1
-4.400000E-1	-1.096068E+2
-4.350000E-1	-1.030270E+2
-4.300000E-1	-8.328773E+1
-4.250000E-1	-7.670796E+1
-4.200000E-1	-1.096068E+2
-4.150000E-1	-7.012820E+1
-4.100000E-1	-8.657761E+1
-4.050000E-1	-6.354843E+1
-4.000000E-1	-7.999785E+1
-3.950000E-1	-6.683832E+1
-3.900000E-1	-7.999785E+1
-3.850000E-1	-7.670796E+1
-3.800000E-1	-7.341808E+1
-3.750000E-1	-8.657761E+1
-3.700000E-1	-9.315738E+1
-3.650000E-1	-1.128967E+2
-3.600000E-1	-7.012820E+1
-3.550000E-1	-7.999785E+1
-3.500000E-1	-7.341808E+1
-3.450000E-1	-1.161866E+2
-3.400000E-1	-1.194764E+2
-3.350000E-1	-9.973714E+1
-3.300000E-1	-9.644726E+1
-3.250000E-1	-7.012820E+1
-3.200000E-1	-1.128967E+2
-3.150000E-1	-5.367879E+1
-3.100000E-1	-1.194764E+2
-3.050000E-1	-7.999785E+1
-3.000000E-1	-1.161866E+2
-2.950000E-1	-1.128967E+2
-2.900000E-1	-1.030270E+2
-2.850000E-1	-7.012820E+1
-2.800000E-1	-9.644726E+1
-2.750000E-1	-1.063169E+2
-2.700000E-1	-8.657761E+1
-2.650000E-1	-8.986749E+1
-2.600000E-1	-1.128967E+2
-2.550000E-1	-6.025855E+1
-2.500000E-1	-4.709902E+1
-2.450000E-1	-1.096068E+2
-2.400000E-1	-1.096068E+2
-2.350000E-1	-6.683832E+1
-2.300000E-1	-1.161866E+2
-2.250000E-1	-5.696867E+1
-2.200000E-1	-7.670796E+1
-2.150000E-1	-1.063169E+2
-2.100000E-1	-7.999785E+1
-2.050000E-1	-7.341808E+1
-2.000000E-1	-1.030270E+2
-1.950000E-1	-1.128967E+2
-1.900000E-1	-1.293461E+2
-1.850000E-1	-7.670796E+1
-1.800000E-1	-9.315738E+1
-1.750000E-1	-7.999785E+1
-1.700000E-1	-7.999785E+1
-1.650000E-1	-1.425056E+2
-1.600000E-1	-1.425056E+2
-1.550000E-1	-9.644726E+1
-1.500000E-1	-1.359259E+2
-1.450000E-1	-9.315738E+1
-1.400000E-1	-1.063169E+2
-1.350000E-1	-9.973714E+1
-1.300000E-1	-7.999785E+1
-1.250000E-1	-6.354843E+1
-1.200000E-1	-1.030270E+2
-1.150000E-1	-7.341808E+1
-1.100000E-1	-1.260562E+2
-1.050000E-1	-1.227663E+2
-1.000000E-1	-6.354843E+1
-9.500000E-2	-7.670796E+1
-9.000000E-2	-1.194764E+2
-8.500000E-2	-7.670796E+1
-8.000000E-2	-8.328773E+1
-7.500000E-2	-8.657761E+1
-7.000000E-2	-9.644726E+1
-6.500000E-2	-9.973714E+1
-6.000000E-2	-1.030270E+2
-5.500000E-2	-9.315738E+1
-5.000000E-2	-1.260562E+2
-4.500000E-2	-6.683832E+1
-4.000000E-2	-1.359259E+2
-3.500000E-2	-6.025855E+1
-3.000000E-2	-1.030270E+2
-2.500000E-2	-1.030270E+2
-2.000000E-2	-1.096068E+2
-1.500000E-2	-7.670796E+1
-1.000000E-2	-7.670796E+1
-5.000000E-3	-8.657761E+1
-6.312832E-14	-8.657761E+1
5.000000E-3	-1.030270E+2
1.000000E-2	-4.051926E+1
1.500000E-2	-7.999785E+1
2.000000E-2	-9.973714E+1
2.500000E-2	-7.341808E+1
3.000000E-2	-1.128967E+2
3.500000E-2	-9.315738E+1
4.000000E-2	-7.670796E+1
4.500000E-2	-8.986749E+1
5.000000E-2	-7.999785E+1
5.500000E-2	-9.973714E+1
6.000000E-2	-7.012820E+1
6.500000E-2	-7.670796E+1
7.000000E-2	-1.030270E+2
7.500000E-2	-9.644726E+1
8.000000E-2	-8.657761E+1
8.500000E-2	-9.973714E+1
9.000000E-2	-8.328773E+1
9.500000E-2	-9.644726E+1
1.000000E-1	-1.063169E+2
1.050000E-1	-8.986749E+1
1.100000E-1	-9.973714E+1
1.150000E-1	-5.038890E+1
1.200000E-1	-1.063169E+2
1.250000E-1	-1.030270E+2
1.300000E-1	-9.973714E+1
1.350000E-1	-1.227663E+2
1.400000E-1	-1.030270E+2
1.450000E-1	-7.670796E+1
1.500000E-1	-7.670796E+1
1.550000E-1	-6.025855E+1
1.600000E-1	-8.986749E+1
1.650000E-1	-5.038890E+1
1.700000E-1	-9.315738E+1
1.750000E-1	-1.194764E+2
1.800000E-1	-6.025855E+1
1.850000E-1	-8.986749E+1
1.900000E-1	-9.973714E+1
1.950000E-1	-6.025855E+1
2.000000E-1	-1.161866E+2
2.050000E-1	-7.012820E+1
2.100000E-1	-8.986749E+1
2.150000E-1	-1.030270E+2
2.200000E-1	-7.670796E+1
2.250000E-1	-7.012820E+1
2.300000E-1	-9.315738E+1
2.350000E-1	-5.696867E+1
2.400000E-1	-8.657761E+1
2.450000E-1	-5.696867E+1
2.500000E-1	-6.354843E+1
2.550000E-1	-8.986749E+1
2.600000E-1	-8.328773E+1
2.650000E-1	-8.657761E+1
2.700000E-1	-1.260562E+2
2.750000E-1	-1.260562E+2
2.800000E-1	-1.063169E+2
2.850000E-1	-7.670796E+1
2.900000E-1	-8.657761E+1
2.950000E-1	-8.328773E+1
3.000000E-1	-1.030270E+2
3.050000E-1	-7.341808E+1
3.100000E-1	-1.326360E+2
3.150000E-1	-8.986749E+1
3.200000E-1	-7.341808E+1
3.250000E-1	-6.683832E+1
3.300000E-1	-7.670796E+1
3.350000E-1	-5.696867E+1
3.400000E-1	-1.326360E+2
3.450000E-1	-7.670796E+1
3.500000E-1	-9.315738E+1
3.550000E-1	-7.341808E+1
3.600000E-1	-6.025855E+1
3.650000E-1	-7.670796E+1
3.700000E-1	-1.128967E+2
3.750000E-1	-1.359259E+2
3.800000E-1	-8.986749E+1
3.850000E-1	-9.973714E+1
3.900000E-1	-8.657761E+1
3.950000E-1	-1.030270E+2
4.000000E-1	-7.670796E+1
4.050000E-1	-1.194764E+2
4.100000E-1	-8.657761E+1
4.150000E-1	-8.328773E+1
4.200000E-1	-8.986749E+1
4.250000E-1	-1.161866E+2
4.300000E-1	-7.012820E+1
4.350000E-1	-1.063169E+2
4.400000E-1	-7.999785E+1
4.450000E-1	-9.315738E+1
4.500000E-1	-8.986749E+1
4.550000E-1	-1.030270E+2
4.600000E-1	-8.986749E+1
4.650000E-1	-7.670796E+1
4.700000E-1	-7.012820E+1
4.750000E-1	-7.012820E+1
4.800000E-1	-8.657761E+1
4.850000E-1	-9.644726E+1
4.900000E-1	-8.328773E+1
4.950000E-1	-9.315738E+1
5.000000E-1	-1.096068E+2
5.050000E-1	-8.986749E+1
5.100000E-1	-8.986749E+1
5.150000E-1	-1.161866E+2
5.200000E-1	-9.644726E+1
5.250000E-1	-1.326360E+2
5.300000E-1	-9.644726E+1
5.350000E-1	-7.999785E+1
5.400000E-1	-8.986749E+1
5.450000E-1	-8.328773E+1
5.500000E-1	-9.973714E+1
5.550000E-1	-8.657761E+1
5.600000E-1	-8.657761E+1
5.650000E-1	-7.999785E+1
5.700000E-1	-1.063169E+2
5.750000E-1	-7.670796E+1
5.800000E-1	-8.986749E+1
5.850000E-1	-1.063169E+2
5.900000E-1	-1.359259E+2
5.950000E-1	-9.644726E+1
6.000000E-1	-8.657761E+1
6.050000E-1	-1.096068E+2
6.100000E-1	-8.328773E+1
6.150000E-1	-1.359259E+2
6.200000E-1	-1.063169E+2
6.250000E-1	-1.063169E+2
6.300000E-1	-1.227663E+2
6.350000E-1	-1.030270E+2
6.400000E-1	-1.293461E+2
6.450000E-1	-5.367879E+1
6.500000E-1	-1.293461E+2
6.550000E-1	-9.315738E+1
6.600000E-1	-1.227663E+2
6.650000E-1	-7.670796E+1
6.700000E-1	-1.030270E+2
6.750000E-1	-7.341808E+1
6.800000E-1	-4.709902E+1
6.850000E-1	-9.973714E+1
6.900000E-1	-1.096068E+2
6.950000E-1	-1.194764E+2
7.000000E-1	-8.328773E+1
7.050000E-1	-6.683832E+1
7.100000E-1	-7.999785E+1
7.150000E-1	-1.096068E+2
7.200000E-1	-6.354843E+1
7.250000E-1	-7.341808E+1
7.300000E-1	-6.025855E+1
7.350000E-1	-1.260562E+2
7.400000E-1	-7.670796E+1
7.450000E-1	-1.161866E+2
7.500000E-1	-8.657761E+1
7.550000E-1	-8.986749E+1
7.600000E-1	-5.367879E+1
7.650000E-1	-7.670796E+1
7.700000E-1	-1.194764E+2
7.750000E-1	-8.986749E+1
7.800000E-1	-1.128967E+2
7.850000E-1	-9.973714E+1
7.900000E-1	-1.128967E+2
7.950000E-1	-9.315738E+1
8.000000E-1	-7.012820E+1
8.050000E-1	-8.986749E+1
8.100000E-1	-8.657761E+1
8.150000E-1	-8.328773E+1
8.200000E-1	-4.051926E+1
8.250000E-1	-8.986749E+1
8.300000E-1	-9.644726E+1
8.350000E-1	-1.030270E+2
8.400000E-1	-7.341808E+1
8.450000E-1	-8.986749E+1
8.500000E-1	-1.227663E+2
8.550000E-1	-4.380914E+1
8.600000E-1	-8.986749E+1
8.650000E-1	-1.030270E+2
8.700000E-1	-7.012820E+1
8.750000E-1	-4.051926E+1
8.800000E-1	-7.999785E+1
8.850000E-1	-4.709902E+1
8.900000E-1	-8.328773E+1
8.950000E-1	-1.063169E+2
9.000000E-1	-6.683832E+1
9.050000E-1	-9.973714E+1
9.100000E-1	-8.328773E+1
9.150000E-1	-1.326360E+2
9.200000E-1	-7.012820E+1
9.250000E-1	-1.096068E+2
9.300000E-1	-8.986749E+1
9.350000E-1	-6.683832E+1
9.400000E-1	-9.315738E+1
9.450000E-1	-8.657761E+1
9.500000E-1	-1.030270E+2
9.550000E-1	-1.161866E+2
9.600000E-1	-8.328773E+1
9.650000E-1	-7.341808E+1
9.700000E-1	-6.025855E+1
9.750000E-1	-1.063169E+2
9.800000E-1	-9.644726E+1
9.850000E-1	-1.128967E+2
9.900000E-1	-8.657761E+1
9.950000E-1	-1.260562E+2
1.000000E+0	-1.293461E+2
1.005000E+0	-8.657761E+1
1.010000E+0	-1.030270E+2
1.015000E+0	-7.999785E+1
1.020000E+0	-1.194764E+2
1.025000E+0	-8.986749E+1
1.030000E+0	-1.194764E+2
1.035000E+0	-6.354843E+1
1.040000E+0	-1.063169E+2
1.045000E+0	-9.644726E+1
1.050000E+0	-8.657761E+1
1.055000E+0	-8.986749E+1
1.060000E+0	-9.644726E+1
1.065000E+0	-1.260562E+2
1.070000E+0	-7.670796E+1
1.075000E+0	-1.030270E+2
1.080000E+0	-8.986749E+1
1.085000E+0	-9.973714E+1
1.090000E+0	-1.030270E+2
1.095000E+0	-9.315738E+1
1.100000E+0	-7.670796E+1
1.105000E+0	-8.986749E+1
1.110000E+0	-8.328773E+1
1.115000E+0	-7.670796E+1
1.120000E+0	-1.030270E+2
1.125000E+0	-1.063169E+2
1.130000E+0	-9.973714E+1
1.135000E+0	-9.315738E+1
1.140000E+0	-1.030270E+2
1.145000E+0	-6.354843E+1
1.150000E+0	-6.354843E+1
1.155000E+0	-1.063169E+2
1.160000E+0	-5.696867E+1
1.165000E+0	-7.670796E+1
1.170000E+0	-7.999785E+1
1.175000E+0	-7.341808E+1
1.180000E+0	-1.063169E+2
1.185000E+0	-9.315738E+1
1.190000E+0	-5.367879E+1
1.195000E+0	-9.973714E+1
1.200000E+0	-6.354843E+1
1.205000E+0	-6.354843E+1
1.210000E+0	-7.341808E+1
1.215000E+0	-9.973714E+1
1.220000E+0	-8.657761E+1
1.225000E+0	-1.161866E+2
1.230000E+0	-9.973714E+1
1.235000E+0	-7.999785E+1
1.240000E+0	-7.999785E+1
1.245000E+0	-7.670796E+1
1.250000E+0	-7.999785E+1
1.255000E+0	-6.354843E+1
1.260000E+0	-7.999785E+1
1.265000E+0	-6.025855E+1
1.270000E+0	-8.657761E+1
1.275000E+0	-7.670796E+1
